Node,Basal_Mean,Basal_Median,Basal_SD,Skew_Basal,Modes_Basal,IL1b_Mean,IL1b_Median,IL1b_SD,Skew_IL1b,Modes_IL1b,p_t_Basal_vs_IL1b,q_t_Basal_vs_IL1b,tstat_Basal_vs_IL1b,p_w_Basal_vs_IL1b,q_w_Basal_vs_IL1b,z_Basal_vs_IL1b,TLR_Mean,TLR_Median,TLR_SD,Skew_TLR,Modes_TLR,p_t_Basal_vs_TLR,q_t_Basal_vs_TLR,tstat_Basal_vs_TLR,p_w_Basal_vs_TLR,q_w_Basal_vs_TLR,z_Basal_vs_TLR,p_t_IL1b_vs_TLR,q_t_IL1b_vs_TLR,tstat_IL1b_vs_TLR,p_w_IL1b_vs_TLR,q_w_IL1b_vs_TLR,z_IL1b_vs_TLR
SMAD2,0.999885306369747,0.9998849162397567,2.3180158985340657e-06,0.2281838067403466,1,0.9996904250781159,0.9996904250781181,2.181312788988624e-15,1.0110387829491418,1,0.0,0.0,1185.9879520716763,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.9992029580727163,0.9992019054984103,6.259977080414922e-06,0.46458497091406126,1,0.0,0.0,2237.482331647412,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,1098.4973675878186,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
SMAD3,0.999885306369747,0.9998849162397567,2.318015898535596e-06,0.22818380674094416,1,0.9996904250781159,0.9996904250781181,2.181312788988624e-15,1.0110387829491418,1,0.0,0.0,1185.987952070897,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.9992029580727163,0.9992019054984103,6.259977080415302e-06,0.46458497091449985,1,0.0,0.0,2237.482331647886,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,1098.4973675877495,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
SMAD2/3,0.999885306369747,0.9998849162397567,2.3180158985349627e-06,0.22818380674196947,1,0.9996904250781159,0.9996904250781181,2.181312788988624e-15,1.0110387829491418,1,0.0,0.0,1185.987952071221,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.9992029580727163,0.9992019054984103,6.2599770804156264e-06,0.46458497091433604,1,0.0,0.0,2237.482331647412,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,1098.4973675876938,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
SMAD1/5/8,0.9298942107423356,0.9298942107426952,3.699076823191069e-11,-0.15105839256781528,1,0.6481212578889849,0.6481212578889823,4.004620772972041e-14,4.977159759221711,1,0.0,0.0,107454204666.24475,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.733209841820511,0.7335562489839524,0.0024195190029992993,-0.4566855466835611,1,0.0,0.0,1146.7463126717696,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,1.083693179881716e-309,1.287867257250737e-309,-496.0995085871794,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
Sox9,0.9932874852728927,0.9932873597523623,7.374916197463364e-07,0.2339929695713664,1,0.40376151619248296,0.4037615161924817,3.979321028602424e-14,3.041506323517734,1,0.0,0.0,11276449.759847002,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.46012869545332763,0.4603919502152397,0.0017377630879815097,-0.47461140304858807,1,0.0,0.0,4326.366988344286,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,1.0351648128858151e-302,1.1955424599526315e-302,-457.5749831784113,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
ADAMTS4/5,1.7785468009737214e-38,5.384086430284387e-40,6.583520011757596e-38,5.575641746434549,1,0.3683552053374408,0.3683552053374415,4.323364321811502e-14,-2.8545337726868762,1,0.0,0.0,-120192589160218.4,1.4356812623359844e-34,1.472050073080386e-34,-12.262736582564834,0.35240237892564896,0.3521911965614065,0.0013105459138655427,0.47921181502838167,1,0.0,0.0,-3793.2645209256934,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,2.9584639830179337e-218,3.110180084711161e-218,171.71646406253313,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
MMP1,1.4488084723435513e-41,5.048565408289453e-43,5.322803531680464e-41,5.586609774325521,1,0.999999965742406,0.9999999657424088,2.7893124488408733e-15,1.0080438662230564,1,0.0,0.0,-6.579030164424294e+16,3.38247378314999e-39,2.133560386294609e-38,-13.097955368350206,0.4940305066551177,0.4924649048998947,0.01059346811536011,0.46231453726674376,1,0.0,0.0,-657.8731202465524,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,673.77156332491,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
MMP2,1.4488281667452574e-41,4.9676174472214625e-43,5.323046339501004e-41,5.586432627078436,1,0.999999965742406,0.9999999657424088,2.7893124488408733e-15,1.0080438662230564,1,0.0,0.0,-6.579030164424294e+16,3.38247378314999e-39,2.133560386294609e-38,-13.097955368350206,0.4940305066551177,0.4924649048998947,0.01059346811536011,0.46231453726674376,1,0.0,0.0,-657.8731202465524,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,673.77156332491,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
MMP3,7.104962212993857e-39,2.1080784748995486e-40,2.635078517020841e-38,5.564739044369317,1,0.6736836375441659,0.6736836375441666,1.7803979648090498e-14,-0.7464140460411804,1,0.0,0.0,-533913439853561.25,1.4346907787831536e-34,1.472050073080386e-34,-12.262792495094532,0.46812249455847715,0.46762628371621395,0.0033856247149316662,0.44999541442211377,1,0.0,0.0,-1950.5057390899567,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,856.5027183868216,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
MMP9,8.880233481918039e-39,2.745388724794636e-40,3.288854592578089e-38,5.634034202528273,1,0.9753898909777046,0.9753898909777023,2.6049461662107742e-15,-1.684764075558102,1,0.0,0.0,-1.0351138893733646e+16,1.3660992372963758e-34,1.472050073080386e-34,-12.266760814043577,0.5677895576899065,0.5665849179907949,0.00800165427600025,0.46193495993728245,1,0.0,0.0,-1001.00018147079,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,718.5901925506516,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
MMP13,3.041002807525034e-39,8.949616247892793e-41,1.1255311645736708e-38,5.554129301520472,1,0.5085807819947924,0.5085807819947934,1.715314693474585e-14,-1.5741040351133193,1,0.0,0.0,-418269093730176.25,1.4350747648328166e-34,1.472050073080386e-34,-12.262770814635088,0.18769851756018643,0.187093519186945,0.003947914339933818,0.47003630178488004,1,0.0,0.0,-670.6866469247193,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,1146.5804460719467,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
TIMP1/2,0.9999961316104892,0.9999961238665345,3.924443078516548e-08,0.2802232980445822,1,0.6314424169672583,0.6314424169672576,4.3254142282253477e-14,2.843709716489759,1,0.0,0.0,132479689.00630626,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.6469337699156855,0.6471439286962266,0.0013068310125272302,-0.4792614805376803,1,0.0,0.0,3811.0902515103853,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,5.5840864098398283e-216,5.7236885700868e-216,-167.22317110356644,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
TIMP3,0.9535219306555679,0.9533657615118434,0.0012040015776931807,0.19021798629104086,1,0.3917432691058574,0.3917432691058593,3.7531829310947895e-14,2.3818988740667866,1,0.0,0.0,6582.103715074592,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.38178141671773397,0.3819197902439133,0.0007787778469259934,-0.48289375910051285,1,0.0,0.0,4162.388400056175,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,1.6278483103482532e-222,1.8285419376514625e-222,180.4484065159111,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
VEGF,9.88324353601014e-08,9.894970024794676e-08,7.395726805324243e-10,-0.13010344117175135,1,0.04152589242236148,0.041525892422361294,3.259524638926903e-15,0.587512254997531,1,0.0,0.0,-792070249.8867198,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788,0.03432319410103364,0.03431221083891564,5.870336829634186e-05,0.626946534533825,1,0.0,0.0,-8248.073286320616,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,1730.847249642172,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
IL-1β,3.1516233950705587e-38,9.935580142163309e-40,1.1689907307208516e-37,5.641658858727006,1,1.0,1.0,0.0,,1,0.0,0.0,-inf,2.0884875837625446e-45,1.7125598186852865e-43,-14.142135623730951,0.2869187420995151,0.28742457349197126,0.004089842314788252,-0.469041889634842,1,0.0,0.0,-989.6437639614139,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,2459.5689180674394,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
